id,name,city,lat,lon,category,avg_spend,avg_stay_hours,rating
1,Victoria Memorial,Kolkata,22.5448,88.3426,heritage,200,2,4.5
2,Science City,Kolkata,22.5391,88.4000,science,300,3,4.3
3,New Town Eco Park,Kolkata,22.6030,88.4650,nature,150,3,4.6
4,Indian Museum,Kolkata,22.5626,88.3505,heritage,150,2.5,4.4
5,Princep Ghat,Kolkata,22.5583,88.3349,riverfront,100,2,4.2
6,Red Fort,Delhi,28.6562,77.2410,heritage,500,3,4.6
7,India Gate,Delhi,28.6129,77.2295,monument,0,1,4.5
8,Qutub Minar,Delhi,28.5244,77.1855,heritage,600,2,4.7
9,Marine Drive,Mumbai,18.9440,72.8238,landmark,0,2,4.8
10,Gateway of India,Mumbai,18.9220,72.8347,monument,0,1,4.6
11,Elephanta Caves,Mumbai,18.9633,72.9315,heritage,300,4,4.5
12,Calangute Beach,Goa,15.5494,73.7535,beach,50,4,4.4
13,Baga Beach,Goa,15.5553,73.7517,beach,100,5,4.3
14,Fort Aguada,Goa,15.4920,73.7737,heritage,200,2,4.5
15,Hawa Mahal,Jaipur,26.9239,75.8267,heritage,200,1.5,4.6
16,Amber Fort,Jaipur,26.9855,75.8513,heritage,500,4,4.7
17,City Palace,Jaipur,26.9258,75.8237,heritage,700,3,4.5
18,Lalbagh Botanical Garden,Bengaluru,12.9507,77.5848,nature,100,3,4.4
19,Cubbon Park,Bengaluru,12.9779,77.5952,nature,0,2,4.5
20,Bangalore Palace,Bengaluru,12.9988,77.5921,heritage,800,3,4.3
21,Victoria Memorial (Night View),Kolkata,22.5448,88.3426,heritage,50,1,4.6
22,Science City (Space Theater),Kolkata,22.5391,88.4000,science,150,2,4.4
23,Eco Park (Boating),Kolkata,22.6030,88.4650,nature,200,1.5,4.5
24,Red Fort (Sound & Light),Delhi,28.6562,77.2410,heritage,100,1,4.7
25,India Gate (Evening Walk),Delhi,28.6129,77.2295,monument,0,1,4.6
26,Qutub Minar (Architecture Tour),Delhi,28.5244,77.1855,heritage,300,1.5,4.8
27,Marine Drive (Sunset),Mumbai,18.9440,72.8238,landmark,0,1,4.9
28,Gateway (Ferry Ride),Mumbai,18.9220,72.8347,monument,150,1,4.5
29,Elephanta (Cave Exploration),Mumbai,18.9633,72.9315,heritage,200,2,4.6
30,Calangute (Water Sports),Goa,15.5494,73.7535,beach,500,2,4.5
31,Baga (Night Market),Goa,15.5553,73.7517,beach,0,2,4.4
32,Aguada (Lighthouse View),Goa,15.4920,73.7737,heritage,50,1,4.6
33,Hawa Mahal (Photo Stop),Jaipur,26.9239,75.8267,heritage,0,0.5,4.5
34,Amber Fort (Elephant Ride),Jaipur,26.9855,75.8513,heritage,1000,1,4.8
35,City Palace (Museum),Jaipur,26.9258,75.8237,heritage,500,2,4.6
36,Lalbagh (Flower Show),Bengaluru,12.9507,77.5848,nature,100,2,4.5
37,Cubbon Park (Morning Yoga),Bengaluru,12.9779,77.5952,nature,0,1,4.6
38,Bangalore Palace (Audio Tour),Bengaluru,12.9988,77.5921,heritage,250,1.5,4.4
39,Park Street Dining,Kolkata,22.555,88.351,food,500,2,4.5
40,Dakshineswar Temple,Kolkata,22.656,88.358,heritage,100,2,4.7
41,Belur Math,Kolkata,22.632,88.353,heritage,0,2,4.6
42,Mother House,Kolkata,22.545,88.364,heritage,0,1,4.4
43,Kalighat Temple,Kolkata,22.520,88.344,heritage,100,1.5,4.3
44,Marble Palace,Kolkata,22.583,88.359,heritage,200,1,4.2
45,Eden Gardens,Kolkata,22.564,88.343,sports,500,3,4.6
46,Sovabazar Rajbari,Kolkata,22.596,88.365,heritage,100,1,4.4
47,Kumartuli,Kolkata,22.596,88.361,culture,0,1.5,4.5
48,College Street,Kolkata,22.573,88.362,culture,100,2,4.4
49,Nandan,Kolkata,22.542,88.345,culture,200,2,4.5
50,Alipore Zoo,Kolkata,22.535,88.331,nature,100,3,4.3
51,Botanical Garden,Kolkata,22.557,88.289,nature,150,3,4.4
52,Rabindra Sarobar,Kolkata,22.512,88.361,nature,0,1.5,4.5
53,Millennium Park,Kolkata,22.571,88.346,nature,50,1,4.2
54,Lotus Temple,Delhi,28.553,77.258,heritage,0,1,4.6
